rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,1950,"Aerosoles, no inflamables, oxidantes",2.2 (5.1),"Gas no inflamable
Comburente",,E0,Prohibido,Prohibido,203,75 kg,203,150 kg,"A145
A167
A802",2X,"Aerosols, non-flammable, oxidizing"
,,1950,"Aerosoles, no inflamables, que contienen sustancias de la Clase 8, Grupo de Embalaje II",2.2 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,2C,"Aerosols, non-flammable, containing substances in Class 8, Packing Group II"
,,1950,"Aerosoles, no inflamables, que contienen sustancias de la Clase 8, Grupo de Embalaje III",2.2 (8),"Gas no inflamable
Corrosivo",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",2C,"Aerosols, non-flammable, containing substances in Class 8, Packing Group III"
,,1950,"Aerosoles, no inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje II",2.2 (6.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,2P,"Aerosols, non-flammable, containing substances in Division 6.1, Packing Group II"
,,1950,"Aerosoles, no inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje III",2.2 (6.1),"Gas no inflamable
Tóxico",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",2P,"Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III"
,,1950,"Aerosoles, no inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje III y sustancias de la Clase 8, Grupo de Embalaje III","2.2 (6.1, 8)","Gas no inflamable
Tóxico
Corrosivo",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",2CP,"Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III"
,,1950,"Aerosoles, no inflamables, que contienen gas tóxico",2.3,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,2P,"Aerosols, non-flammable, containing toxic gas"
,,1951,"Argón, liquido refrigerado",2.2,"Gas no inflamable
Líquido criogénico",,E1,Prohibido,Prohibido,202,50 kg,202,500 kg,,2L,"Argon, refrigerated liquid"
,,1952,"Mezcla de óxido de etileno y dióxido de carbono
con no más del 9% de óxido de etileno",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,"Ethylene oxide and carbon dioxide mixture
with not more than 9% ethylene oxide"
,,1953,"Gas comprimido, tóxico, inflamable, n.e.p. ★",2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,"Compressed gas, toxic, flammable, n.o.s. ★"
,,1954,"Gas comprimido inflamable, n.e.p. ★",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,"A1
A807",10L,"Compressed gas, flammable, n.o.s. ★"
,,1955,"Gas comprimido tóxico, n.e.p. ★",2.3,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2P,"Compressed gas, toxic, n.o.s. ★"
,,1956,"Gas comprimido, n.e.p. ★",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,A202,2L,"Compressed gas, n.o.s. ★"
,,1957,Deuterio comprimido,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Deuterium, compressed"
,,1958,"1,2-Dicloro-1,1,2,2-tetrafluoroetano",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,"1,2-Dichloro-1,1,2,2-tetrafluoroethane"
,,1958,Gas refrigerante R 114,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R 114
,,1959,"1,1-Difluoretileno",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"1,1-Difluoroethylene"
,,1959,Gas refrigerante R 1132a,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,Refrigerant gas R 1132a
,,1961,"Etano, líquido refrigerado",2.1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10L,"Ethane, refrigerated liquid"
,,1962,Etileno,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10A,Ethylene
,,1963,"Helio, líquido refrigerado",2.2,"Gas no inflamable
Líquido criogénico",,E1,Prohibido,Prohibido,202,50 kg,202,500 kg,,2L,"Helium, refrigerated liquid"
,,1964,"Mezcla de hidrocarburos gaseosos comprimidos, n.e.p. ★ †",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Hydrocarbon gas mixture, compressed, n.o.s. † ★"
,,1965,"Mezcla de hidrocarburos gaseosos, licuada, n.e.p. ★ †",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Hydrocarbon gas mixture, liquefied, n.o.s. † ★"
,,1966,"Hidrógeno, líquido refrigerado",2.1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10L,"Hydrogen, refrigerated liquid"
,,1967,"Insecticida gaseoso, tóxico, n.e.p. ★",2.3,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2P,"Insecticide gas, toxic, n.o.s. ★"
,,1968,"Insecticida gaseoso, n.e.p. ★",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,"Insecticide gas, n.o.s. ★"
,,1969,Isobutano,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,Isobutane
,,1970,"Criptón, líquido refrigerado",2.2,"Gas no inflamable
Líquido criogénico",,E1,Prohibido,Prohibido,202,50 kg,202,500 kg,,2L,"Krypton, refrigerated liquid"
,,1971,"Gas natural, comprimido
con alta proporción de metano",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Natural gas, compressed
with high methane content"
,,1971,"Metano, comprimido",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Methane, compressed"
,,1972,"Gas natural, líquido refrigerado
con alta proporción de metano",2.1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10L,"Natural gas, refrigerated liquid
with high methane content"
,,1972,"Metano, líquido refrigerado
con alta proporción de metano",2.1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10L,"Methane, refrigerated liquid
with high methane content"
,,1973,Gas refrigerante R 502,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R 502
,,1973,"Mezcla de clorodifluometano y cloropentafluoetano
de punto de ebullición fijo, con alrededor del 49% de clorodifluometano",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,"Chlorodifluoromethane and chloropentafluoroethane mixture
with fixed boiling point, with approximately 49% chlorodifluoromethane"
,,1974,Clorodifluobromometano,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Chlorodifluorobromomethane
,,1974,Gas refrigerante R 12B1,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R 12B1
,,1975,Mezcla de óxido nítrico y tetróxido de dinitrógeno,"2.3 (5.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2PX,Nitric oxide and dinitrogen tetroxide mixture
,,1975,Óxido nítrico y dióxido de nitrógeno en mezcla,"2.3 (5.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2PX,Nitric oxide and nitrogen dioxide mixture
,,1976,Gas refrigerante R C318,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R C318
,,1976,Octafluociclobutano,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Octafluorocyclobutane
,,1977,Nitrógeno líquido refrigerado,2.2,"Gas no inflamable
Líquido criogénico",,E1,Prohibido,Prohibido,202,50 kg,202,500 kg,A152,2L,"Nitrogen, refrigerated liquid"
,,1978,Propano,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,Propane
,,1982,Gas refrigerante R 14,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2A,Refrigerant gas R 14
,,1982,Tetrafluometano,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2A,Tetrafluoromethane
,,1983,"1-Cloro-2,2,2-trifluoetano",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,"1-Chloro-2,2,2-trifluoroethane"
,,1983,Gas refrigerante R 133a,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R 133a
,,1984,Gas refrigerante R 23,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2A,Refrigerant gas R 23
,,1984,"Trifluometano
(R23)",2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2A,"Trifluoromethane
(R23)"
,,1986,"Alcoholes inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A3,3HP,"Alcohols, flammable, toxic, n.o.s. ★"
,,1986,"Alcoholes inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",II,E2,Y341,1 L,352,1 L,364,60 L,A3,3HP,"Alcohols, flammable, toxic, n.o.s. ★"
,,1986,"Alcoholes inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",III,E1,Y343,2 L,355,60 L,366,220 L,A3,3P,"Alcohols, flammable, toxic, n.o.s. ★"
,,1987,"Alcoholes, n.e.p. ★",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,"A3
A180",3L,"Alcohols, n.o.s. ★"
,,1987,"Alcoholes, n.e.p. ★",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,"A3
A180",3L,"Alcohols, n.o.s. ★"
,,1988,"Aldehídos inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A3,3HP,"Aldehydes, flammable, toxic, n.o.s. ★"
,,1988,"Aldehídos inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",II,E2,Y341,1 L,352,1 L,364,60 L,A3,3HP,"Aldehydes, flammable, toxic, n.o.s. ★"
,,1988,"Aldehídos inflamables, tóxicos, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",III,E1,Y343,2 L,355,60 L,366,220 L,A3,3P,"Aldehydes, flammable, toxic, n.o.s. ★"
,,1989,"Aldehídos, n.e.p. ★",3,Líquido inflamable,I,E3,Prohibido,Prohibido,351,1 L,361,30 L,A3,3H,"Aldehydes, n.o.s. ★"
,,1989,"Aldehídos, n.e.p. ★",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A3,3H,"Aldehydes, n.o.s. ★"
,,1989,"Aldehídos, n.e.p. ★",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,A3,3L,"Aldehydes, n.o.s. ★"
,,1990,Benzaldehído,9,Misceláneas,III,E1,Y964,30 kg G,964,100 L,964,220 L,,9N,Benzaldehyde
,,1991,"Cloropreno, estabilizado",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A209,3HP,"Chloroprene, stabilized"
,,1992,"Líquido inflamable, tóxico, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A3,3HP,"Flammable liquid, toxic, n.o.s. ★"
,,1992,"Líquido inflamable, tóxico, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",II,E2,Y341,1 L,352,1 L,364,60 L,A3,3HP,"Flammable liquid, toxic, n.o.s. ★"
,,1992,"Líquido inflamable, tóxico, n.e.p. ★",3 (6.1),"Líquido inflamable
Tóxico",III,E1,Y343,2 L,355,60 L,366,220 L,A3,3P,"Flammable liquid, toxic, n.o.s. ★"
,,1993,"Líquido inflamable, n.e.p. ★",3,Líquido inflamable,I,E3,Prohibido,Prohibido,351,1 L,361,30 L,A3,3H,"Flammable liquid, n.o.s. ★"
,,1993,"Líquido inflamable, n.e.p. ★",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A3,3H,"Flammable liquid, n.o.s. ★"
,,1993,"Líquido inflamable, n.e.p. ★",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,A3,3L,"Flammable liquid, n.o.s. ★"
,,1994,Hierro pentacarbonilo,6.1 (3),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,6H,Iron pentacarbonyl
,,1999,"Alquitranes, líquidos
incluso los aglomerantes para carreteras y los asfaltos rebajados",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A3,3L,"Tars, liquid
including road asphalt and oils, bitumen and cut backs"
,,1999,"Alquitranes, líquidos
incluso los aglomerantes para carreteras y los asfaltos rebajados",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,A3,3L,"Tars, liquid
including road asphalt and oils, bitumen and cut backs"
,,2000,"Celuloide
en bloques, barras, rollos, hojas, tubos, etc. (excepto los desechos)",4.1,Sólido inflamable,III,E1,Prohibido,Prohibido,456,25 kg,456,100 kg,"A3
A48
A205",3L,"Celluloid
in blocks, rods, rolls, sheets, tubes, etc. (except scrap)"
,,2001,Naftenatos de cobalto en polvo,4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,A803,3L,"Cobalt naphthenates, powder"
,,2002,"Celuloide, desechos de",4.2,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A3",4L,"Celluloid, scrap"
,,2004,Diamida magnésica,4.2,Combustión<Break/>espontánea,II,E2,Prohibido,Prohibido,467,15 kg,470,50 kg,,4W,Magnesium diamide
,,2006,"Plásticos a base de nitrocelulosa que pueden calentarse espontáneamente, n.e.p. ★",4.2,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,4L,"Plastics, nitrocellulose-based, self-heating, n.o.s. ★"
,,2008,"Circonio en polvo, seco",4.2,Combustión<Break/>espontánea,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A3
A803",4L,"Zirconium powder, dry"
,,2008,"Circonio en polvo, seco",4.2,Combustión<Break/>espontánea,II,E2,Prohibido,Prohibido,467,15 kg,470,50 kg,"A3
A803",4L,"Zirconium powder, dry"
,,2008,"Circonio en polvo, seco",4.2,Combustión<Break/>espontánea,III,E1,Prohibido,Prohibido,469,25 kg,471,100 kg,"A3
A803",4L,"Zirconium powder, dry"
,,2009,"Circonio seco
en alambre, láminas o tiras (de espesor inferior a 18 micrones)",4.2,Combustión<Break/>espontánea,III,E1,Prohibido,Prohibido,469,25 kg,471,100 kg,"A3
A803",4L,"Zirconium, dry
finished sheets, strip or coiled wire (thinner than 18 microns)"
,,2010,Hidruro magnésico,4.3,Peligroso mojado,I,E0,Prohibido,Prohibido,Prohibido,Prohibido,487,15 kg,,4W,Magnesium hydride
,,2011,Fosfuro magnésico,4.3 (6.1),"Peligroso mojado
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,487,15 kg,,4PW,Magnesium phosphide
,,2012,Fosfuro potásico,4.3 (6.1),"Peligroso mojado
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,487,15 kg,,4PW,Potassium phosphide
,,2013,Fosfuro de estroncio,4.3 (6.1),"Peligroso mojado
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,487,15 kg,,4PW,Strontium phosphide
,,2014,"Peróxido de hidrógeno en solución acuosa
con más del 40% pero con el 60% o menos de peróxido de hidrógeno (estabilizado según sea necesario)",5.1 (8),,II,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A75",5C,"Hydrogen peroxide, aqueous solution
with more than 40% but 60% or less hydrogen peroxide (stabilized as necessary)"
,,2014,"Peróxido de hidrógeno en solución acuosa
con un mínimo del 20% y un máximo del 40% de peróxido de hidrógeno (estabilizadas según sea necesario)",5.1 (8),"Comburente
Corrosivo",II,E2,Y540,0.5 L,550,1 L,554,5 L,,5C,"Hydrogen peroxide, aqueous solution
with 20% or more but 40% or less hydrogen peroxide (stabilized as necessary)"
,,2015,"Peróxido de hidrógeno en solución acuosa estabilizada
con más del 60% de peróxido de hidrógeno",5.1 (8),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,5C,"Hydrogen peroxide, aqueous solution, stabilized
with more than 60% hydrogen peroxide"
,,2015,"Peróxido de hidrógeno, estabilizado",5.1 (8),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,5C,"Hydrogen peroxide, stabilized"
,,2016,"Municiones tóxicas no explosivas
sin carga explosiva ni carga expulsora, sin cebo",6.1,Tóxico,,E0,Prohibido,Prohibido,Prohibido,Prohibido,679,75 kg,A1,6L,"Ammunition, toxic, non-explosive
without burster or expelling charge, non-fuzed"
,,2017,"Municiones lacrimógenas no explosivas
sin carga explosiva ni carga expulsora, sin cebo",6.1 (8),"Tóxico
Corrosivo",,E0,Prohibido,Prohibido,Prohibido,Prohibido,679,50 kg,A1,6C,"Ammunition, tear-producing, non-explosive
without burster or expelling charge, non-fuzed"
,,2018,"Cloroanilinas, sólidas",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,"Chloroanilines, solid"
,,2019,"Cloroanilinas, líquidas",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,"Chloroanilines, liquid"
,,2020,"Clorofenoles, sólidos",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,A25,6L,"Chlorophenols, solid"
,,2021,"Clorofenoles, líquidos",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,"Chlorophenols, liquid"
,,2022,Ácido cresílico,6.1 (8),"Tóxico
Corrosivo",II,E4,Y640,0.5 L,653,1 L,660,30 L,,6C,Cresylic acid
,,2023,Epiclorhidrina,6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,A113,6F,Epichlorohydrin
,,2024,"Mercurio, compuesto líquido de, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4
A6
A18",6L,"Mercury compound, liquid, n.o.s. ★"
,,2024,"Mercurio, compuesto líquido de, n.e.p. ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,661,60 L,"A3
A4
A6
A18",6L,"Mercury compound, liquid, n.o.s. ★"
,,2024,"Mercurio, compuesto líquido de, n.e.p. ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4
A6
A18",6L,"Mercury compound, liquid, n.o.s. ★"
,,2025,"Mercurio, compuesto sólido de, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,666,5 kg,673,50 kg,"A3
A5
A6
A18",6L,"Mercury compound, solid, n.o.s. ★"
,,2025,"Mercurio, compuesto sólido de, n.e.p. ★",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,"A3
A5
A6
A18",6L,"Mercury compound, solid, n.o.s. ★"
,,2025,"Mercurio, compuesto sólido de, n.e.p. ★",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,"A3
A5
A6
A18",6L,"Mercury compound, solid, n.o.s. ★"
,,2026,"Fenilmercúrico, compuesto, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,666,5 kg,673,50 kg,"A3
A5
A6",6L,"Phenylmercuric compound, n.o.s. ★"
,,2026,"Fenilmercúrico, compuesto, n.e.p. ★",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,"A3
A5
A6",6L,"Phenylmercuric compound, n.o.s. ★"
,,2026,"Fenilmercúrico, compuesto, n.e.p. ★",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,"A3
A5
A6",6L,"Phenylmercuric compound, n.o.s. ★"
,,2027,"Arsenito sódico, sólido",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,A6,6L,"Sodium arsenite, solid"
,,2028,"Bombas fumígenas no explosivas
que contengan un líquido corrosivo, sin dispositivio iniciador",8,Corrosivo,,E0,Prohibido,Prohibido,Prohibido,Prohibido,866,50 kg,A802,8L,"Bombs, smoke, non-explosive
with corrosive liquid, without initiating device"
,,2029,Hidrazina anhidra,"8 (3, 6.1)","Corrosivo
Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,854,2.5 L,,8FP,"Hydrazine, anhydrous"
,,2030,"Hidrazina en solución acuosa
con más del 37%, en peso, de hidrazina",8 (6.1),"Corrosivo
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,854,2.5 L,"A1
A36
A803",8P,"Hydrazine, aqueous solution
with more than 37% hydrazine by weight"
,,2030,"Hidrazina en solución acuosa
con más del 37%, en peso, de hidrazina",8 (6.1),"Corrosivo
Tóxico",II,E0,Prohibido,Prohibido,Prohibido,Prohibido,855,30 L,"A1
A36
A803",8P,"Hydrazine, aqueous solution
with more than 37% hydrazine by weight"
,,2030,"Hidrazina en solución acuosa
con más del 37%, en peso, de hidrazina",8 (6.1),"Corrosivo
Tóxico",III,E1,Y841,1 L,852,5 L,856,60 L,"A1
A36
A803",8P,"Hydrazine, aqueous solution
with more than 37% hydrazine by weight"
,,2031,"Ácido nítrico
excepto el fumante rojo, con > 20% pero < 65% de ácido nítrico",8,Corrosivo,II,E0,Prohibido,Prohibido,Prohibido,Prohibido,855,30 L,A212,8L,"Nitric acid
other than red fuming, with > 20% but < 65% nitric acid"
,,2031,"Ácido nítrico
excepto el fumante rojo, con ≥ 65% pero ≤ 70% de ácido nítrico",8 (5.1),"Corrosivo
Comburente",II,E0,Prohibido,Prohibido,Prohibido,Prohibido,855,30 L,A1,8L,"Nitric acid
other than red fuming, with ≥ 65% but ≤ 70% nitric acid"
,,2031,"Ácido nítrico
excepto el fumante rojo, con más del 70% de ácido nítrico",8 (5.1),"Corrosivo
Comburente",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,854,2.5 L,,8X,"Nitric acid
other than red fuming, with more than 70% nitric acid"
,,2031,"Ácido nítrico
excepto el fumate rojo, con un 20%, como máximo, de ácido nítrico",8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,"Nitric acid
other than red fuming, with 20% or less nitric acid"
,,2032,"Ácido nítrico, fumante rojo","8 (5.1, 6.1)",,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,8PX,"Nitric acid, red fuming"
,,2033,Monóxido potásico,8,Corrosivo,II,E2,Y844,5 kg,859,15 kg,863,50 kg,,8L,Potassium monoxide
,,2034,"Mezcla de hidrógeno y metano, comprimida",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"Hydrogen and methane mixture, compressed"
,,2035,Gas refrigerante R 143a,2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,Refrigerant gas R 143a
,,2035,"1,1,1-Trifluoretano
(R143a)",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,10L,"1,1,1-Trifluoroethane
(R143a)"
,,2036,Xenón,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,"A69
A202",2L,Xenon
,,2037,"Cartuchos de gas
(inflamables) sin dispositivo descarga, no rellenables",2.1,Gas inflamable,,E0,Y203,1 kg,203,1 kg,203,15 kg,"A145
A167
A802",10L,"Gas cartridges
(flammable) without a release device, non-refillable"
,,2037,"Cartuchos de gas
(comburente) sin dispositivo de descarga, no rellenable",2.2 (5.1),"Gas no inflamable
Comburente",,E0,Prohibido,Prohibido,203,1 kg,203,15 kg,"A145
A167
A802",2X,"Gas cartridges
(oxidizing) without a release device, non-refillable"
,,2037,"Cartuchos de gas
(no inflamable) sin dispositive de descarga, no rellenable",2.2,Gas no inflamable,,E0,Y203,1 kg,203,1 kg,203,15 kg,"A98
A145
A167
A802",2L,"Gas cartridges
(non-flammable) without a release device, non-refillable"
,,2037,"Cartuchos de gas
(tóxico, comburente y corrosivo) sin válvula de escape, no rellenable","2.3 (5.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A211",2PX,"Gas cartridges
(toxic, oxidizing and corrosive) without a release device, non-refillable"
,,2037,"Cartuchos de gas
(tóxico e inflamable) sin dispositivo de descarga, no rellenable",2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,"Gas cartridges
(toxic and flammable) without a release device, non-refillable"
,,2037,"Cartuchos de gas
(tóxico, inflamable y corrosivo) sin dispositive de descarga, no rellenable","2.3 (2.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10C,"Gas cartridges
(toxic, flammable and corrosive) without a release device, non refillable"
,,2037,"Cartuchos de gas
(tóxico) sin dispositivo de descarga, no rellenable",2.3,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2P,"Gas cartridges
(toxic) without a release device, non-refillable"
